order_id,order_date,customer_id,gender,age,product_category,product_name,quantity,unit_price,total_amount,payment_method,order_status,delivery_status,country,city
A1034,6/3/2023,C384,Male,20,Beauty,Product_15,1,23041,23041,Card,Cancelled,Not Delivered,India,Chennai
A1035,9/29/2023,C928,Female,54,Clothing,Product_44,1,8301,8301,UPI,Completed,Not Delivered,India,Bangalore
A1036,3/15/2023,C990,Male,47,Beauty,Product_118,2,19408,38816,Card,Returned,Delivered,India,Indore
A1037,10/7/2023,C106,Male,22,Home & Kitchen,Product_89,2,22503,45006,COD,Cancelled,Not Delivered,India,Hyderabad
A1038,4/12/2023,C877,Female,48,Electronics,Product_61,2,10199,20398,Card,Returned,Not Delivered,India,Hyderabad
A1039,1/12/2023,C925,Female,35,Electronics,Product_145,3,9974,29922,COD,Returned,Delivered,India,Indore
A1040,11/7/2023,C263,Female,32,Clothing,Product_159,2,7840,15680,Card,Returned,Delivered,India,Mumbai
A1041,1/21/2023,C814,Female,46,Electronics,Product_149,3,21479,64437,Card,Returned,Delivered,India,Mumbai
A1042,8/1/2023,C532,Male,30,Clothing,Product_139,2,11005,22010,Card,Returned,Not Delivered,India,Delhi
A1043,6/1/2023,C448,Female,25,Home & Kitchen,Product_20,2,16089,32178,UPI,Completed,Not Delivered,India,Jaipur
A1044,1/8/2023,C384,Female,52,Electronics,Product_117,1,13229,13229,Card,Returned,Not Delivered,India,Chennai
A1045,2/25/2023,C259,Male,48,Electronics,Product_159,3,12472,37416,COD,Cancelled,Delivered,India,Mumbai
A1046,12/25/2023,C320,Female,59,Home & Kitchen,Product_30,3,15513,46539,UPI,Completed,Delivered,India,Hyderabad
A1047,2/19/2023,C881,Male,52,Clothing,Product_100,2,4105,8210,Card,Cancelled,Not Delivered,India,Delhi
A1048,2/20/2023,C444,Female,57,Home & Kitchen,Product_72,2,21760,43520,UPI,Returned,Not Delivered,India,Bangalore
A1049,5/1/2023,C204,Female,24,Beauty,Product_140,2,14871,29742,COD,Cancelled,Delivered,India,Chennai
A1050,3/4/2023,C194,Female,23,Clothing,Product_165,2,6519,13038,COD,Returned,Delivered,India,Pune
A1051,3/6/2023,C489,Male,22,Clothing,Product_151,2,8281,16562,UPI,Completed,Not Delivered,India,Delhi
A1052,5/22/2023,C199,Male,26,Beauty,Product_45,3,392,1176,UPI,Returned,Delivered,India,Delhi
A1053,5/2/2023,C467,Female,19,Clothing,Product_68,1,12038,12038,UPI,Completed,Not Delivered,India,Mumbai
A1054,9/1/2023,C967,Female,41,Electronics,Product_116,3,2382,7146,COD,Completed,Delivered,India,Hyderabad
A1055,1/16/2023,C452,Male,48,Home & Kitchen,Product_110,2,21380,42760,COD,Completed,Not Delivered,India,Indore
A1056,6/14/2023,C718,Male,22,Clothing,Product_71,1,2947,2947,COD,Returned,Not Delivered,India,Chennai
A1057,5/31/2023,C370,Female,50,Home & Kitchen,Product_26,3,17685,53055,COD,Completed,Delivered,India,Chennai
A1058,7/31/2023,C926,Female,47,Home & Kitchen,Product_107,2,7787,15574,COD,Completed,Not Delivered,India,Chennai
A1059,5/11/2023,C144,Female,27,Home & Kitchen,Product_18,2,22094,44188,UPI,Completed,Delivered,India,Chennai
A1060,7/10/2023,C847,Male,53,Electronics,Product_151,1,24698,24698,COD,Returned,Not Delivered,India,Mumbai
A1061,12/7/2023,C570,Female,21,Beauty,Product_154,2,11886,23772,Card,Cancelled,Delivered,India,Bangalore
A1062,9/4/2023,C649,Male,24,Beauty,Product_143,1,21819,21819,Card,Completed,Not Delivered,India,Bangalore
A1063,11/15/2023,C227,Male,56,Beauty,Product_8,2,18681,37362,UPI,Cancelled,Not Delivered,India,Jaipur
A1064,4/3/2023,C487,Male,54,Home & Kitchen,Product_18,2,500,1000,UPI,Returned,Delivered,India,Mumbai
A1065,4/21/2023,C180,Female,44,Home & Kitchen,Product_88,3,17682,53046,UPI,Cancelled,Not Delivered,India,Jaipur
A1066,2/13/2023,C665,Male,27,Clothing,Product_194,3,19837,59511,COD,Completed,Delivered,India,Hyderabad
A1067,8/6/2023,C400,Female,56,Home & Kitchen,Product_107,2,21990,43980,Card,Completed,Delivered,India,Jaipur
A1068,5/26/2023,C949,Female,51,Beauty,Product_12,2,3933,7866,UPI,Cancelled,Delivered,India,Pune
A1069,4/19/2023,C743,Male,34,Beauty,Product_84,1,10176,10176,UPI,Completed,Not Delivered,India,Chennai
A1070,7/14/2023,C733,Male,50,Beauty,Product_19,1,4533,4533,Card,Returned,Delivered,India,Chennai
A1071,2/9/2023,C982,Female,54,Home & Kitchen,Product_147,1,15365,15365,Card,Returned,Not Delivered,India,Hyderabad
A1072,1/11/2023,C470,Female,28,Home & Kitchen,Product_177,1,13572,13572,Card,Completed,Not Delivered,India,Mumbai
A1073,10/29/2023,C691,Female,51,Electronics,Product_102,1,14576,14576,Card,Returned,Not Delivered,India,Bangalore
A1074,2/9/2023,C296,Male,51,Clothing,Product_199,2,5809,11618,Card,Cancelled,Delivered,India,Bangalore
A1075,5/12/2023,C821,Male,29,Clothing,Product_195,1,5098,5098,COD,Completed,Delivered,India,Indore
A1076,10/24/2023,C171,Female,54,Beauty,Product_161,2,18772,37544,Card,Completed,Not Delivered,India,Mumbai
A1077,11/20/2023,C146,Female,35,Electronics,Product_91,2,14790,29580,COD,Completed,Not Delivered,India,Indore
A1078,1/30/2023,C777,Female,36,Electronics,Product_166,2,1532,3064,UPI,Returned,Not Delivered,India,Indore
A1079,1/22/2023,C333,Female,54,Clothing,Product_83,3,18463,55389,COD,Cancelled,Delivered,India,Pune
A1080,6/25/2023,C891,Male,50,Clothing,Product_11,2,3691,7382,UPI,Returned,Not Delivered,India,Indore
A1081,11/9/2023,C396,Male,41,Beauty,Product_73,3,17429,52287,Card,Cancelled,Not Delivered,India,Pune
A1082,6/21/2023,C181,Male,39,Electronics,Product_143,3,21510,64530,COD,Cancelled,Not Delivered,India,Hyderabad
A1083,11/5/2023,C975,Male,39,Electronics,Product_150,3,21814,65442,COD,Completed,Not Delivered,India,Hyderabad
A1084,12/6/2023,C338,Female,26,Electronics,Product_80,3,23187,69561,COD,Cancelled,Not Delivered,India,Delhi
A1085,12/17/2023,C987,Male,59,Home & Kitchen,Product_131,3,23330,69990,Card,Completed,Not Delivered,India,Hyderabad
A1086,6/24/2023,C203,Female,30,Clothing,Product_36,1,7318,7318,UPI,Completed,Not Delivered,India,Mumbai
A1087,9/27/2023,C489,Male,60,Beauty,Product_197,3,17987,53961,COD,Completed,Not Delivered,India,Delhi
A1088,12/21/2023,C384,Male,46,Electronics,Product_106,1,6225,6225,Card,Returned,Delivered,India,Indore
A1089,8/18/2023,C564,Male,52,Clothing,Product_80,3,9636,28908,Card,Completed,Not Delivered,India,Indore
A1090,7/15/2023,C750,Female,28,Clothing,Product_155,2,9533,19066,UPI,Cancelled,Delivered,India,Indore
A1091,2/22/2023,C954,Male,36,Electronics,Product_196,2,18471,36942,UPI,Cancelled,Not Delivered,India,Delhi
A1092,4/24/2023,C473,Female,40,Electronics,Product_107,2,3305,6610,UPI,Cancelled,Not Delivered,India,Bangalore
A1093,7/11/2023,C266,Male,19,Beauty,Product_26,2,2974,5948,COD,Returned,Not Delivered,India,Delhi
A1094,5/27/2023,C479,Female,26,Home & Kitchen,Product_115,1,1555,1555,COD,Completed,Delivered,India,Pune
A1095,3/18/2023,C463,Female,25,Beauty,Product_61,2,7366,14732,Card,Completed,Delivered,India,Bangalore
A1096,11/15/2023,C314,Female,22,Electronics,Product_128,2,21237,42474,COD,Returned,Delivered,India,Bangalore
A1097,5/30/2023,C786,Female,18,Beauty,Product_62,3,5004,15012,COD,Cancelled,Delivered,India,Mumbai
A1098,2/4/2023,C373,Male,42,Home & Kitchen,Product_12,3,12116,36348,COD,Cancelled,Not Delivered,India,Hyderabad
A1099,7/2/2023,C818,Male,40,Clothing,Product_188,3,832,2496,COD,Returned,Delivered,India,Jaipur
A1100,6/30/2023,C799,Female,59,Clothing,Product_200,1,1752,1752,COD,Cancelled,Not Delivered,India,Delhi
A1101,8/23/2023,C763,Male,36,Clothing,Product_12,1,2367,2367,UPI,Completed,Not Delivered,India,Hyderabad
A1102,10/6/2023,C173,Female,34,Electronics,Product_193,3,13349,40047,COD,Completed,Not Delivered,India,Jaipur
A1103,6/19/2023,C723,Female,25,Beauty,Product_112,1,21787,21787,Card,Returned,Not Delivered,India,Chennai
A1104,9/12/2023,C750,Female,41,Beauty,Product_22,2,6421,12842,COD,Cancelled,Delivered,India,Chennai
A1105,10/7/2023,C275,Female,38,Electronics,Product_21,3,6213,18639,Card,Returned,Not Delivered,India,Hyderabad
A1106,8/7/2023,C646,Male,46,Beauty,Product_115,2,20046,40092,UPI,Returned,Not Delivered,India,Chennai
A1107,1/30/2023,C846,Male,60,Home & Kitchen,Product_94,2,21254,42508,COD,Returned,Delivered,India,Pune
A1108,12/14/2023,C350,Female,20,Clothing,Product_18,1,20208,20208,UPI,Returned,Not Delivered,India,Jaipur
A1109,1/17/2023,C267,Male,46,Beauty,Product_96,2,18887,37774,Card,Completed,Delivered,India,Jaipur
A1110,11/29/2023,C573,Female,33,Electronics,Product_7,2,10601,21202,COD,Completed,Not Delivered,India,Chennai
A1111,5/15/2023,C488,Female,46,Clothing,Product_157,3,4158,12474,Card,Returned,Not Delivered,India,Bangalore
A1112,2/7/2023,C376,Female,29,Home & Kitchen,Product_23,1,4747,4747,COD,Cancelled,Not Delivered,India,Mumbai
A1113,5/29/2023,C755,Female,28,Clothing,Product_93,3,18065,54195,COD,Completed,Delivered,India,Bangalore
A1114,9/10/2023,C804,Male,41,Beauty,Product_120,1,8057,8057,COD,Completed,Delivered,India,Mumbai
A1115,9/3/2023,C670,Female,44,Electronics,Product_33,2,13346,26692,Card,Returned,Delivered,India,Indore
A1116,9/22/2023,C324,Female,26,Clothing,Product_197,2,22585,45170,UPI,Cancelled,Delivered,India,Mumbai
A1117,6/5/2023,C801,Male,28,Beauty,Product_182,3,5314,15942,UPI,Cancelled,Not Delivered,India,Mumbai
A1118,11/22/2023,C432,Female,26,Beauty,Product_158,2,6732,13464,COD,Completed,Delivered,India,Delhi
A1119,11/16/2023,C963,Female,54,Electronics,Product_8,1,21885,21885,UPI,Completed,Not Delivered,India,Bangalore
A1120,11/13/2023,C886,Male,49,Beauty,Product_165,3,13950,41850,Card,Cancelled,Delivered,India,Chennai
A1121,2/7/2023,C894,Male,28,Home & Kitchen,Product_107,2,15161,30322,Card,Cancelled,Delivered,India,Jaipur
A1122,6/10/2023,C157,Female,40,Home & Kitchen,Product_34,3,5007,15021,Card,Returned,Delivered,India,Jaipur
A1123,3/4/2023,C334,Female,46,Clothing,Product_37,1,15585,15585,UPI,Completed,Not Delivered,India,Chennai
A1124,5/8/2023,C941,Male,38,Beauty,Product_49,3,14001,42003,UPI,Cancelled,Not Delivered,India,Indore
A1125,1/12/2023,C132,Male,43,Home & Kitchen,Product_62,2,16597,33194,UPI,Returned,Not Delivered,India,Pune
A1126,9/11/2023,C924,Female,36,Electronics,Product_28,1,9519,9519,Card,Completed,Not Delivered,India,Jaipur
A1127,1/24/2023,C423,Female,21,Clothing,Product_93,2,12291,24582,COD,Cancelled,Delivered,India,Chennai
A1128,10/9/2023,C510,Female,57,Electronics,Product_33,3,15057,45171,UPI,Cancelled,Not Delivered,India,Jaipur
A1129,3/15/2023,C374,Male,56,Home & Kitchen,Product_129,3,12280,36840,UPI,Completed,Delivered,India,Delhi
A1130,8/31/2023,C167,Female,27,Clothing,Product_84,3,11213,33639,COD,Cancelled,Delivered,India,Chennai
A1131,6/3/2023,C316,Female,50,Home & Kitchen,Product_182,3,24526,73578,COD,Cancelled,Not Delivered,India,Pune
A1132,12/11/2023,C680,Male,44,Beauty,Product_186,2,11154,22308,COD,Returned,Delivered,India,Indore
A1133,10/24/2023,C997,Male,21,Home & Kitchen,Product_44,2,21782,43564,COD,Returned,Not Delivered,India,Delhi
A1134,1/17/2023,C835,Male,30,Electronics,Product_113,3,8236,24708,Card,Cancelled,Delivered,India,Chennai
A1135,7/30/2023,C422,Female,21,Clothing,Product_133,3,6981,20943,UPI,Returned,Not Delivered,India,Indore
A1136,6/10/2023,C317,Male,47,Beauty,Product_140,3,12647,37941,Card,Returned,Not Delivered,India,Indore
A1137,5/23/2023,C771,Female,32,Beauty,Product_198,1,8377,8377,Card,Returned,Delivered,India,Indore
A1138,6/28/2023,C611,Female,36,Electronics,Product_147,2,16022,32044,COD,Returned,Not Delivered,India,Chennai
A1139,5/29/2023,C505,Male,36,Electronics,Product_89,2,5099,10198,Card,Returned,Not Delivered,India,Indore
A1140,10/3/2023,C758,Female,53,Beauty,Product_36,1,6921,6921,UPI,Returned,Delivered,India,Bangalore
A1141,9/29/2023,C569,Male,58,Clothing,Product_14,1,22249,22249,UPI,Cancelled,Not Delivered,India,Indore
A1142,3/12/2023,C246,Male,53,Clothing,Product_105,1,22621,22621,COD,Cancelled,Not Delivered,India,Bangalore
A1143,5/27/2023,C371,Male,23,Clothing,Product_137,2,10824,21648,COD,Returned,Delivered,India,Delhi
A1144,1/19/2023,C242,Female,49,Clothing,Product_192,2,6060,12120,Card,Completed,Delivered,India,Hyderabad
A1145,2/24/2023,C352,Female,36,Home & Kitchen,Product_165,3,20051,60153,COD,Returned,Not Delivered,India,Delhi
A1146,5/20/2023,C862,Male,25,Beauty,Product_42,3,15636,46908,COD,Cancelled,Not Delivered,India,Delhi
A1147,6/22/2023,C674,Female,54,Clothing,Product_45,1,24437,24437,COD,Returned,Not Delivered,India,Chennai
A1148,2/14/2023,C651,Female,60,Electronics,Product_48,3,11045,33135,UPI,Cancelled,Not Delivered,India,Bangalore
A1149,7/16/2023,C369,Male,46,Beauty,Product_85,1,8845,8845,Card,Returned,Delivered,India,Hyderabad
A1150,12/21/2023,C864,Male,21,Electronics,Product_120,3,12081,36243,Card,Completed,Not Delivered,India,Hyderabad
A1151,11/24/2023,C698,Female,41,Clothing,Product_57,3,4147,12441,UPI,Cancelled,Delivered,India,Indore
A1152,7/11/2023,C538,Female,53,Home & Kitchen,Product_194,3,20148,60444,COD,Returned,Delivered,India,Bangalore
A1153,2/11/2023,C697,Female,51,Beauty,Product_20,3,19823,59469,COD,Completed,Delivered,India,Bangalore
A1154,3/18/2023,C508,Male,38,Home & Kitchen,Product_30,3,17885,53655,COD,Completed,Not Delivered,India,Mumbai
A1155,1/29/2023,C470,Female,26,Home & Kitchen,Product_117,3,14897,44691,COD,Completed,Not Delivered,India,Hyderabad
A1156,7/22/2023,C324,Female,18,Clothing,Product_149,3,1013,3039,UPI,Completed,Not Delivered,India,Jaipur
A1157,10/5/2023,C241,Male,22,Home & Kitchen,Product_9,3,2389,7167,Card,Cancelled,Delivered,India,Delhi
A1158,11/27/2023,C621,Female,41,Home & Kitchen,Product_115,3,24197,72591,Card,Cancelled,Delivered,India,Delhi
A1159,3/2/2023,C605,Male,52,Home & Kitchen,Product_136,3,11695,35085,UPI,Returned,Delivered,India,Pune
A1160,8/26/2023,C193,Female,52,Home & Kitchen,Product_59,1,10076,10076,UPI,Cancelled,Not Delivered,India,Delhi
A1161,2/27/2023,C873,Male,60,Home & Kitchen,Product_158,2,6476,12952,UPI,Completed,Delivered,India,Mumbai
A1162,1/18/2023,C148,Female,56,Electronics,Product_63,1,19762,19762,COD,Completed,Not Delivered,India,Indore
A1163,4/22/2023,C981,Male,26,Beauty,Product_60,1,17986,17986,COD,Returned,Not Delivered,India,Jaipur
A1164,3/15/2023,C212,Male,44,Beauty,Product_71,1,10188,10188,UPI,Returned,Delivered,India,Chennai
A1165,1/25/2023,C256,Female,59,Home & Kitchen,Product_135,3,16540,49620,Card,Returned,Not Delivered,India,Chennai
A1166,7/12/2023,C742,Male,52,Home & Kitchen,Product_62,1,10126,10126,UPI,Cancelled,Delivered,India,Indore
A1167,7/31/2023,C263,Female,53,Clothing,Product_100,1,18728,18728,UPI,Cancelled,Delivered,India,Jaipur
A1168,8/19/2023,C911,Female,23,Clothing,Product_14,3,2890,8670,Card,Cancelled,Delivered,India,Mumbai
A1169,12/10/2023,C796,Male,48,Clothing,Product_86,1,19553,19553,Card,Completed,Delivered,India,Bangalore
A1170,9/3/2023,C532,Male,56,Clothing,Product_102,3,4144,12432,UPI,Returned,Not Delivered,India,Hyderabad
A1171,10/1/2023,C710,Female,37,Beauty,Product_93,2,15578,31156,COD,Cancelled,Not Delivered,India,Mumbai
A1172,6/13/2023,C165,Male,41,Beauty,Product_106,3,15684,47052,UPI,Returned,Delivered,India,Delhi
A1173,10/11/2023,C494,Female,36,Clothing,Product_51,1,8845,8845,Card,Completed,Not Delivered,India,Bangalore
A1174,12/2/2023,C490,Female,34,Home & Kitchen,Product_186,2,18343,36686,COD,Returned,Not Delivered,India,Indore
A1175,6/30/2023,C710,Male,26,Home & Kitchen,Product_48,1,24311,24311,COD,Returned,Delivered,India,Pune
A1176,1/25/2023,C579,Male,44,Clothing,Product_162,1,22196,22196,UPI,Completed,Delivered,India,Pune
A1177,8/22/2023,C641,Female,21,Home & Kitchen,Product_169,1,16871,16871,Card,Completed,Delivered,India,Chennai
A1178,9/29/2023,C357,Female,52,Beauty,Product_5,1,848,848,COD,Returned,Not Delivered,India,Delhi
A1179,9/26/2023,C666,Male,33,Clothing,Product_159,1,3456,3456,COD,Cancelled,Not Delivered,India,Hyderabad
A1180,7/11/2023,C981,Female,47,Clothing,Product_179,2,2889,5778,UPI,Cancelled,Delivered,India,Pune
A1181,7/14/2023,C111,Female,53,Home & Kitchen,Product_15,1,13580,13580,COD,Completed,Delivered,India,Mumbai
A1182,11/27/2023,C796,Female,54,Electronics,Product_136,2,14518,29036,UPI,Completed,Delivered,India,Indore
A1183,2/8/2023,C838,Female,52,Electronics,Product_46,2,1825,3650,Card,Completed,Delivered,India,Delhi
A1184,2/9/2023,C217,Female,28,Clothing,Product_146,3,13351,40053,Card,Returned,Not Delivered,India,Chennai
A1185,12/19/2023,C798,Male,50,Beauty,Product_14,3,4885,14655,UPI,Cancelled,Delivered,India,Mumbai
A1186,11/11/2023,C649,Female,38,Electronics,Product_163,2,20130,40260,Card,Cancelled,Not Delivered,India,Bangalore
A1187,7/12/2023,C868,Female,29,Home & Kitchen,Product_22,2,18421,36842,COD,Cancelled,Delivered,India,Mumbai
A1188,3/20/2023,C373,Female,58,Clothing,Product_190,1,9080,9080,Card,Cancelled,Not Delivered,India,Mumbai
A1189,6/7/2023,C887,Female,41,Beauty,Product_27,1,470,470,UPI,Completed,Delivered,India,Chennai
A1190,10/12/2023,C756,Female,24,Electronics,Product_23,2,18551,37102,Card,Returned,Delivered,India,Jaipur
A1191,5/30/2023,C448,Female,42,Electronics,Product_186,2,704,1408,COD,Completed,Delivered,India,Chennai
A1192,5/18/2023,C214,Female,35,Home & Kitchen,Product_38,1,4849,4849,UPI,Completed,Not Delivered,India,Hyderabad
A1193,9/5/2023,C400,Male,41,Beauty,Product_64,2,10122,20244,COD,Returned,Not Delivered,India,Bangalore
A1194,3/11/2023,C545,Female,18,Home & Kitchen,Product_86,2,3805,7610,COD,Cancelled,Not Delivered,India,Indore
A1195,11/30/2023,C261,Male,37,Beauty,Product_155,2,14410,28820,COD,Completed,Not Delivered,India,Jaipur
A1196,6/13/2023,C564,Female,58,Home & Kitchen,Product_148,1,13349,13349,UPI,Cancelled,Not Delivered,India,Hyderabad
A1197,2/28/2023,C103,Male,55,Clothing,Product_175,2,12260,24520,COD,Completed,Not Delivered,India,Bangalore
A1198,12/21/2023,C839,Male,44,Home & Kitchen,Product_36,2,9846,19692,COD,Cancelled,Delivered,India,Hyderabad
A1199,8/5/2023,C996,Female,22,Home & Kitchen,Product_154,3,5350,16050,Card,Returned,Not Delivered,India,Chennai
A1200,7/4/2023,C836,Male,24,Clothing,Product_169,3,1504,4512,COD,Cancelled,Delivered,India,Pune
A1201,12/13/2023,C369,Female,39,Home & Kitchen,Product_28,3,21436,64308,UPI,Completed,Not Delivered,India,Bangalore
A1202,9/23/2023,C612,Male,46,Beauty,Product_101,3,24772,74316,Card,Returned,Delivered,India,Jaipur
A1203,2/23/2023,C880,Female,44,Electronics,Product_30,1,16119,16119,COD,Completed,Not Delivered,India,Hyderabad
A1204,4/16/2023,C282,Female,40,Home & Kitchen,Product_25,2,15220,30440,Card,Returned,Not Delivered,India,Jaipur
A1205,1/23/2023,C619,Male,19,Beauty,Product_166,1,10139,10139,UPI,Returned,Delivered,India,Bangalore
A1206,10/10/2023,C208,Male,39,Home & Kitchen,Product_119,3,6016,18048,UPI,Cancelled,Delivered,India,Delhi
A1207,8/10/2023,C991,Female,19,Clothing,Product_116,3,21838,65514,COD,Cancelled,Not Delivered,India,Pune
A1208,4/16/2023,C740,Female,22,Electronics,Product_138,3,7338,22014,UPI,Cancelled,Not Delivered,India,Bangalore
A1209,5/15/2023,C405,Female,51,Beauty,Product_153,2,4034,8068,Card,Returned,Not Delivered,India,Mumbai
A1210,8/23/2023,C961,Male,37,Electronics,Product_173,2,11833,23666,UPI,Cancelled,Delivered,India,Bangalore
A1211,4/4/2023,C754,Female,27,Home & Kitchen,Product_108,2,4132,8264,COD,Completed,Not Delivered,India,Chennai
A1212,11/22/2023,C619,Male,53,Clothing,Product_126,1,16247,16247,Card,Completed,Delivered,India,Jaipur
A1213,1/28/2023,C723,Female,18,Home & Kitchen,Product_35,2,20596,41192,UPI,Cancelled,Not Delivered,India,Chennai
A1214,8/1/2023,C303,Female,49,Clothing,Product_22,3,16412,49236,COD,Completed,Delivered,India,Hyderabad
A1215,4/26/2023,C256,Female,28,Home & Kitchen,Product_145,1,9306,9306,COD,Cancelled,Delivered,India,Mumbai
A1216,7/7/2023,C482,Male,46,Clothing,Product_109,2,18096,36192,UPI,Returned,Delivered,India,Hyderabad
A1217,5/15/2023,C880,Female,23,Home & Kitchen,Product_31,1,15036,15036,UPI,Completed,Not Delivered,India,Chennai
A1218,3/13/2023,C265,Male,31,Electronics,Product_146,1,20490,20490,Card,Returned,Not Delivered,India,Delhi
A1219,5/30/2023,C652,Female,54,Beauty,Product_132,2,23370,46740,COD,Completed,Delivered,India,Chennai
A1220,12/2/2023,C897,Male,26,Clothing,Product_38,1,9387,9387,COD,Cancelled,Delivered,India,Chennai
A1221,10/23/2023,C643,Female,58,Home & Kitchen,Product_97,2,4958,9916,Card,Completed,Delivered,India,Chennai
A1222,5/23/2023,C100,Female,47,Home & Kitchen,Product_84,3,24869,74607,COD,Completed,Delivered,India,Indore
A1223,12/24/2023,C713,Female,22,Home & Kitchen,Product_56,3,22062,66186,Card,Completed,Not Delivered,India,Hyderabad
A1224,6/22/2023,C431,Male,54,Home & Kitchen,Product_88,2,9592,19184,COD,Completed,Delivered,India,Mumbai
A1225,1/9/2023,C600,Male,28,Home & Kitchen,Product_117,3,15359,46077,UPI,Cancelled,Delivered,India,Delhi
A1226,3/23/2023,C119,Female,23,Beauty,Product_65,3,10191,30573,UPI,Cancelled,Delivered,India,Pune
A1227,6/6/2023,C214,Male,45,Electronics,Product_181,2,20799,41598,UPI,Completed,Delivered,India,Indore
A1228,10/31/2023,C471,Male,51,Home & Kitchen,Product_3,1,4648,4648,UPI,Returned,Not Delivered,India,Mumbai
A1229,3/9/2023,C999,Female,22,Clothing,Product_99,2,23042,46084,UPI,Returned,Delivered,India,Mumbai
A1230,6/3/2023,C951,Male,42,Clothing,Product_165,2,12344,24688,COD,Completed,Delivered,India,Pune
A1231,3/26/2023,C926,Female,40,Clothing,Product_161,3,21599,64797,COD,Completed,Not Delivered,India,Indore
